"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"1",9784567,"Bijlmer-Oost",52.3233693190506,4.97772982009888,"Apartment","Private room",1,95,5
"2",13163805,"Bijlmer-Oost",52.3156354115214,4.97816636203569,"Apartment","Private room",1,60,4
"3",3719167,"Bijlmer-Oost",52.3167107238767,4.98661763737347,"House","Private room",1,45,11
"4",13188367,"Bijlmer-Oost",52.3212044019855,4.97663006955212,"Apartment","Private room",1,35,2
"5",4831606,"Bijlmer-Oost",52.3272703648649,4.96735199511277,"House","Private room",1,39,12
"6",13727930,"Bijlmer-Oost",52.3145874531917,4.97538507922726,"Apartment","Entire home/apt",0,80,0
"8",9833390,"Bijlmer-Oost",52.3145881929175,4.98202244879298,"Apartment","Entire home/apt",2,129,1
"9",13601947,"Bijlmer-Oost",52.3188135836771,4.98040850786399,"Apartment","Entire home/apt",2,120,1
"10",12850813,"Bijlmer-Oost",52.3144349033709,4.98235086523767,"Apartment","Entire home/apt",2,111,1
"11",5870618,"Bijlmer-Oost",52.3231902801055,4.97229840576007,"Apartment","Entire home/apt",1,251,1
"12",5362748,"Bijlmer-Oost",52.3226341500106,4.96066273268662,"House","Private room",1,45,8
"13",13538703,"Bijlmer-Oost",52.3194839480843,4.97997807962352,"Apartment","Entire home/apt",3,150,0
"14",12680964,"Bijlmer-Oost",52.3210425202814,4.97769512547129,"Apartment","Private room",1,30,3
"15",12023314,"Bijlmer-Oost",52.3218512492941,4.97427064082197,"Apartment","Entire home/apt",2,99,8
"16",10907707,"Bijlmer-Oost",52.3176009966768,4.98538172332947,"House","Private room",1,40,26
"17",10908410,"Bijlmer-Oost",52.3169687826768,4.98543649666489,"House","Private room",1,40,18
"18",9958128,"Bijlmer-Oost",52.3150784934599,4.97765560136119,"Apartment","Private room",1,29,9
"19",7303805,"Bijlmer-Oost",52.3221129508149,4.9626411051785,"House","Private room",1,45,7
"20",9859597,"Bijlmer-Oost",52.3263886154703,4.97364906777527,"Apartment","Private room",1,30,0
"21",9038396,"Bijlmer-Oost",52.323287388827,4.96681079209237,"Apartment","Entire home/apt",1,55,3
"22",10670670,"Bijlmer-Oost",52.3163778881963,4.98290935530757,"Apartment","Entire home/apt",2,130,0
"23",9268952,"Bijlmer-Oost",52.3212746436218,4.96967306240679,"Apartment","Entire home/apt",2,69,8
"24",2942229,"Bijlmer-Oost",52.3245481423996,4.9759684025391,"Apartment","Private room",1,49,141
"25",13067890,"Bijlmer-Oost",52.3151475748757,4.9856602359728,"House","Private room",1,80,3
"26",9462160,"Bijlmer-Oost",52.3240038576351,4.95792706820773,"Apartment","Entire home/apt",0,52,28
"27",6873473,"Bijlmer-Oost",52.3223661057436,4.97283838863628,"Apartment","Private room",1,85,21
"28",9250191,"Bijlmer-Oost",52.3260464372404,4.97038981386592,"Apartment","Private room",1,30,21
"29",12508971,"Bijlmer-Oost",52.3224644838632,4.97178057336909,"Apartment","Private room",1,35,0
"30",10276821,"Bijlmer-Oost",52.32488306423,4.97108323415737,"Apartment","Entire home/apt",1,100,7
"33",9880934,"Bijlmer-Oost",52.3182806412599,4.97851297936739,"Apartment","Entire home/apt",1,79,3
"34",6345602,"Bijlmer-Oost",52.3186501651247,4.97730716454789,"Apartment","Entire home/apt",2,120,15
"35",12289041,"Bijlmer-Oost",52.3237886215705,4.9814970418138,"House","Private room",1,65,5
"36",12735030,"Bijlmer-Oost",52.3212114746127,4.97886775788041,"Apartment","Entire home/apt",2,45,1
"37",7131573,"Bijlmer-Oost",52.3246633635879,4.97447286500356,"Apartment","Private room",1,55,43
"38",12031955,"Bijlmer-Oost",52.3248417966596,4.98248015917163,"House","Entire home/apt",2,120,0
"39",7303459,"Bijlmer-Oost",52.321005836303,4.96111522053715,"House","Private room",1,40,0
"40",7032765,"Bijlmer-Oost",52.3157252521522,4.98590823549982,"House","Private room",1,36,26
"41",11684742,"Bijlmer-Oost",52.3189246403996,4.97895625805825,"Apartment","Entire home/apt",1,50,19
"42",13779421,"Bijlmer-Oost",52.3264300846367,4.98260223499956,"House","Private room",1,27,0
"44",7722639,"Bijlmer-Oost",52.3179152282139,4.96662438256415,"House","Private room",1,77,10
"45",7880299,"Bijlmer-Oost",52.3234401108273,4.97219053957808,"Apartment","Entire home/apt",2,75,4
"46",13745770,"Bijlmer-Oost",52.3174248534335,4.97960677177346,"Apartment","Entire home/apt",2,99,0
"47",3522143,"Bijlmer-Oost",52.3245847429198,4.97872390539083,"Apartment","Entire home/apt",1,50,3
"49",10860856,"Bijlmer-Oost",52.3178132948396,4.98580325507547,"House","Private room",1,45,22
"50",3651182,"Bijlmer-Oost",52.3217708902475,4.98081420659869,"Apartment","Entire home/apt",0,100,40
"51",13775357,"Bijlmer-Oost",52.3163833496302,4.97950463740643,"Apartment","Private room",1,50,0
"52",12333473,"Bijlmer-Oost",52.3178593955657,4.97952640469984,"Apartment","Entire home/apt",1,98,10
"53",9925265,"Bijlmer-Oost",52.3208363168362,4.97673985718736,"Apartment","Entire home/apt",2,60,0
"54",11650989,"Bijlmer-Oost",52.3152481938575,4.97690101096206,"Apartment","Private room",1,45,12
"55",4402514,"Bijlmer-Oost",52.3207538086026,4.97574118693038,"Apartment","Private room",1,30,18
"56",13685155,"Bijlmer-Oost",52.3206355727027,4.96554726611147,"Apartment","Entire home/apt",2,140,0
"57",13706439,"Bijlmer-Oost",52.3235842930995,4.96916640912738,"Apartment","Private room",1,55,0
"58",13354641,"Bijlmer-Oost",52.3170870689427,4.97196883731886,"Apartment","Private room",1,75,0
"59",11617912,"Bijlmer-Oost",52.3140770353774,4.98394462086624,"Apartment","Entire home/apt",2,80,21
"61",9817243,"Bijlmer-Oost",52.3221319962531,4.97742595207702,"Apartment","Shared room",1,45,9
"62",13784548,"Bijlmer-Oost",52.3213791716762,4.97844277577594,"Apartment","Entire home/apt",1,93,0
"63",13288857,"Bijlmer-Oost",52.3221612804498,4.9710873569174,"Apartment","Private room",1,45,5
"64",13054514,"Bijlmer-Oost",52.3214948075793,4.97844334533142,"Apartment","Entire home/apt",2,115,1
"65",7046849,"Bijlmer-Oost",52.3223141612061,4.96159351287323,"House","Private room",1,45,7
"66",11469902,"Bijlmer-Oost",52.3202214963709,4.98309368445953,"Apartment","Entire home/apt",1,75,13
"67",7706472,"Bijlmer-Oost",52.3216185549668,4.97827140527388,"Apartment","Entire home/apt",2,110,42
"68",9115414,"Bijlmer-Oost",52.3209376778948,4.98773366131959,"House","Private room",1,30,1
"69",12206912,"Bijlmer-Oost",52.3178045591164,4.97933476197868,"Apartment","Entire home/apt",2,99,16
"70",13062045,"Bijlmer-Oost",52.3155376187742,4.98696220324158,"Apartment","Private room",1,70,1
"72",5998167,"Bijlmer-Oost",52.3233889354321,4.97438032063655,"Apartment","Entire home/apt",1,65,27
"74",13293783,"Noord-Oost",52.3970367751847,4.93310695343005,"Apartment","Private room",1,75,0
"76",653883,"Noord-Oost",52.3830808708464,4.97790095023336,"House","Entire home/apt",2,99,53
"81",4658790,"Noord-Oost",52.3954226695454,4.93920480516769,"Apartment","Entire home/apt",2,120,0
"82",3637400,"Noord-Oost",52.4026664423836,4.92521832096992,"Apartment","Private room",1,45,62
"84",12258399,"Noord-Oost",52.4066612731435,4.93247706886738,"House","Entire home/apt",4,102,4
"85",3896355,"Noord-Oost",52.3999088971548,4.92999133072238,"Apartment","Entire home/apt",1,64,50
"86",3327727,"Noord-Oost",52.407088167197,4.933223652388,"House","Entire home/apt",3,125,2
"87",7822985,"Noord-Oost",52.4023896205254,4.94297495876786,"House","Entire home/apt",2,150,0
"88",5897261,"Noord-Oost",52.411213729914,4.94732139195624,"House","Entire home/apt",1,70,26
"89",13090950,"Noord-Oost",52.4005406321082,4.94652230638575,"House","Entire home/apt",2,100,1
"90",13721210,"Noord-Oost",52.4043973587248,4.93069800569991,"Apartment","Entire home/apt",3,150,0
"91",9192196,"Noord-Oost",52.409392596396,4.9617883975102,"Apartment","Entire home/apt",0,65,6
"92",7769055,"Noord-Oost",52.3793438904485,4.99283519140989,"House","Entire home/apt",2,100,17
"94",13776069,"Noord-Oost",52.4060176022602,4.93008746430986,"House","Entire home/apt",2,120,0
"95",13697534,"Noord-Oost",52.3999052812913,4.93225983795412,"Apartment","Entire home/apt",2,85,0
"96",4697911,"Noord-Oost",52.3991272984682,4.95399969751039,"House","Entire home/apt",4,130,7
"97",7241009,"Noord-Oost",52.4077481776292,4.93314400577388,"House","Entire home/apt",3,181,2
"99",6303583,"Noord-Oost",52.4070050792536,4.93350807022848,"House","Entire home/apt",4,160,9
"100",3753071,"Noord-Oost",52.399330853119,4.93264690342983,"Apartment","Entire home/apt",1,75,10
"101",11647054,"Noord-Oost",52.4031998097676,4.94440547203864,"Apartment","Entire home/apt",0,90,25
"102",10538029,"Noord-Oost",52.4107926471168,4.96121356426762,"House","Entire home/apt",2,90,15
"103",12585183,"Noord-Oost",52.4066460293207,4.92813632582326,"House","Entire home/apt",3,226,1
"104",6611814,"Noord-Oost",52.4132444461157,4.94615285958606,"House","Entire home/apt",1,68,18
"105",3279250,"Noord-Oost",52.4104855885564,4.96147990717551,"House","Entire home/apt",3,200,18
"109",13630140,"Noord-Oost",52.3929422738961,4.95095155411058,"Apartment","Entire home/apt",1,79,0
"110",13653088,"Noord-Oost",52.3939193300309,4.95531578032456,"Apartment","Entire home/apt",2,85,0
"111",2719038,"Noord-Oost",52.3973577142877,5.0044514131055,"House","Entire home/apt",2,85,121
"112",9161106,"Noord-Oost",52.4107718891733,4.9611698052059,"Apartment","Entire home/apt",0,65,0
"113",4482546,"Noord-Oost",52.3851619963631,4.95786083833168,"House","Entire home/apt",2,150,7
"114",4969675,"Noord-Oost",52.3860691568053,4.95769652163774,"House","Entire home/apt",2,150,1
"116",11859831,"Noord-Oost",52.3955333059002,4.94101976837843,"Apartment","Private room",1,60,4
"117",9959224,"Noord-Oost",52.4040719090587,4.93083064633876,"Apartment","Private room",1,65,1
"119",2353432,"Noord-Oost",52.3947705235736,4.93171259817466,"House","Entire home/apt",3,150,3
"120",13561575,"Noord-Oost",52.4067579398363,4.92960118642123,"House","Private room",1,69,0
"121",8811789,"Noord-Oost",52.3960257354903,4.99521018266192,"House","Entire home/apt",3,208,0
"122",6943965,"Noord-Oost",52.3890660745316,4.95484761118276,"House","Entire home/apt",4,140,3
"123",13268428,"Noord-Oost",52.3955862946862,4.95537519369726,"Apartment","Private room",1,55,2
"124",12251311,"Noord-Oost",52.4069734740043,4.93238189193656,"House","Entire home/apt",3,95,4
"125",8319109,"Noord-Oost",52.3898838671786,4.95613818864362,"House","Entire home/apt",1,300,0
"126",13609091,"Noord-Oost",52.3791818303243,4.99637032293638,"House","Entire home/apt",3,111,0
"127",8751830,"Noord-Oost",52.399016195563,4.92994525973289,"Apartment","Private room",1,65,13
"128",12578052,"Noord-Oost",52.393671844344,4.9545166520858,"Apartment","Entire home/apt",2,120,0
"130",2550665,"Noord-Oost",52.4143044984034,5.02768895444857,"House","Entire home/apt",3,171,11
"131",12309072,"Noord-Oost",52.4049354232705,4.92844170476757,"House","Private room",1,69,0
"132",6417023,"Noord-Oost",52.4075768026934,4.96470208260402,"House","Entire home/apt",4,75,3
"133",6484413,"Noord-Oost",52.3984750825128,4.94511765793727,"Apartment","Entire home/apt",2,175,31
"134",13199738,"Noord-Oost",52.3799442479713,5.00010558835286,"House","Entire home/apt",2,120,0
"135",10479859,"Noord-Oost",52.3872719628684,4.95662800258292,"House","Entire home/apt",4,255,0
"136",13526838,"Noord-Oost",52.3962112519874,4.94544765605627,"Apartment","Entire home/apt",2,175,0
"137",3990045,"Noord-Oost",52.4084247334731,4.93469698788002,"House","Entire home/apt",3,200,5
"138",5595867,"Noord-Oost",52.3989050181317,4.95088345109528,"House","Private room",1,60,18
"139",12783817,"Noord-Oost",52.4036636171992,4.9459249423889,"Apartment","Private room",1,69,0
"140",13646589,"Noord-Oost",52.3959715605752,4.93986718910643,"Apartment","Entire home/apt",3,149,0
"141",2940577,"Noord-Oost",52.3983147062198,4.92524216936139,"House","Entire home/apt",3,168,0
"143",12868845,"Noord-Oost",52.39514030789,4.93176602067877,"Apartment","Private room",1,50,2
"144",3561418,"Noord-Oost",52.386550947887,4.95569570514679,"House","Entire home/apt",2,139,0
"146",11556728,"Noord-Oost",52.413163650846,4.94577522776297,"House","Entire home/apt",1,91,3
"147",3462884,"Noord-Oost",52.4038308208702,4.93842669721892,"Apartment","Private room",1,60,101
"148",11496001,"Noord-Oost",52.4015066159864,4.93734867279483,"Apartment","Entire home/apt",1,146,3
"149",13269364,"Noord-Oost",52.3936843382524,4.9552744941369,"Apartment","Private room",1,55,1
"150",13424779,"Noord-Oost",52.3935241434262,4.95470218155507,"Apartment","Entire home/apt",3,100,0
"151",12553894,"Noord-Oost",52.3883923531576,4.95700002317344,"House","Entire home/apt",4,100,1
"153",13127944,"Noord-Oost",52.3944840366436,4.93034350000424,"House","Entire home/apt",3,140,0
"154",13424878,"Noord-Oost",52.3964488028085,4.95115968518126,"House","Entire home/apt",4,100,0
"155",6680635,"Noord-Oost",52.4069256661708,4.93204391431005,"House","Entire home/apt",4,125,2
"156",10868311,"Noord-Oost",52.3971134011367,4.94060719578783,"Apartment","Private room",1,60,0
"157",1168916,"Noord-Oost",52.3836188880926,4.97797199967219,"House","Entire home/apt",2,120,45
"160",6901054,"Noord-Oost",52.4069550133777,4.92938661409129,"House","Entire home/apt",4,165,1
"161",13324378,"Noord-Oost",52.39039599527,4.95728604772599,"House","Entire home/apt",3,149,0
"162",7720233,"Noord-Oost",52.4054250336155,4.93331482135323,"House","Entire home/apt",3,125,0
"163",9752272,"Noord-Oost",52.3955514045204,4.95782646326391,"Apartment","Entire home/apt",1,80,1
"164",2864823,"Noord-Oost",52.3960862800791,4.95017998508872,"Apartment","Private room",1,55,62
"166",8162480,"Noord-Oost",52.4002876537267,4.93131141245925,"Apartment","Entire home/apt",2,169,7
"167",12666580,"Noord-Oost",52.3838886522736,4.96610257153441,"House","Entire home/apt",2,120,0
"169",12207691,"Noord-Oost",52.3968055036219,4.95428893389234,"House","Private room",1,63,9
"170",12829995,"Noord-Oost",52.3911042098774,4.95384900337574,"House","Entire home/apt",3,149,1
"171",13026508,"Noord-Oost",52.3962493763656,4.94620571883397,"Apartment","Entire home/apt",1,80,0
"172",3785760,"Noord-Oost",52.3934225380304,4.95614165858085,"Apartment","Private room",1,70,4
"175",10502510,"Noord-Oost",52.3969987204568,4.9421989389982,"Apartment","Private room",1,37,12
"176",9879725,"Noord-Oost",52.3931302780581,4.95764110869786,"Apartment","Entire home/apt",2,65,5
"177",12829311,"Noord-Oost",52.3971809435244,4.93174029057654,"Apartment","Entire home/apt",2,140,0
"178",13353566,"Noord-Oost",52.3852296508833,4.95580415384967,"House","Entire home/apt",2,175,0
